dataset,clf,rep,acq_name,iter_idx,train_size,avg_score,stdev
agnews,BERT,BERT,cal,-1,200,0.8684828375175289,0.01247160826186437
agnews,BERT,BERT,cal,0,400,0.8949194454280235,0.002599291074699335
agnews,BERT,BERT,cal,1,600,0.900367578670445,0.007641856685318405
agnews,BERT,BERT,cal,2,800,0.9069884245697519,0.005407809139758155
agnews,BERT,BERT,cal,3,1000,0.9123207235845401,0.004529787948795862
agnews,BERT,BERT,cal,4,1200,0.9148298965609056,0.001517716160908952
agnews,BERT,BERT,cal,5,1400,0.9168062226164951,0.00377397345391453
agnews,BERT,BERT,cal,6,1600,0.9203890106088181,0.004335616792639268
agnews,BERT,BERT,cal,7,1800,0.9245814235213293,0.005583906601418793
agnews,BERT,BERT,cal,8,2000,0.9264206799988618,0.004244874906121075
agnews,BERT,BERT,cal,9,2200,0.9256783177085227,0.006235698570597768
agnews,BERT,BERT,cal,10,2400,0.929042081641129,0.0028524993664528174
agnews,BERT,BERT,cal,11,2600,0.932327697119966,0.0023355970019530146
agnews,BERT,BERT,cal,12,2800,0.9329474537301247,0.0011257545360569526
agnews,BERT,BERT,cal,13,3000,0.9304334807321335,0.0035866826850619645
agnews,BERT,BERT,cal,14,3200,0.9304486832225849,0.0029616109545551193
agnews,BERT,BERT,cal,15,3400,0.9338998464550361,0.0019435371924240831
agnews,BERT,BERT,cal,16,3600,0.9326184890081451,0.002862848269983158
agnews,BERT,BERT,cal,17,3800,0.9338683627791112,0.0019945535326041934
agnews,BERT,BERT,cal,18,4000,0.9351711997486487,0.001720753407012263
agnews,BERT,BERT,cal,19,4200,0.9355300802035095,0.0014662696131496665
agnews,BERT,BERT,cal,20,4400,0.9362203053392832,0.002208400689658156
agnews,BERT,BERT,cal,21,4600,0.9345263455678524,0.0025736287238840457
agnews,BERT,BERT,cal,22,4800,0.9325104112121472,0.0032095915492533753
agnews,BERT,BERT,cal,23,5000,0.9341502318812083,0.0006513268469108011
agnews,BERT,BERT,dal,-1,200,0.8684828375175289,0.01247160826186437
agnews,BERT,BERT,dal,0,400,0.8974324240607333,0.004667128391742498
agnews,BERT,BERT,dal,1,600,0.908600252403442,0.001688364852088209
agnews,BERT,BERT,dal,2,800,0.9042542308826974,0.001352340897933209
agnews,BERT,BERT,dal,3,1000,0.9076961631135628,0.0034134059108149335
agnews,BERT,BERT,dal,4,1200,0.9094895669697958,0.005242217586528483
agnews,BERT,BERT,dal,5,1400,0.9128437645751157,0.0031623176944501493
agnews,BERT,BERT,dal,6,1600,0.9117025628454583,0.0031635595229943816
agnews,BERT,BERT,dal,7,1800,0.9113724963135655,0.005071057733983285
agnews,BERT,BERT,dal,8,2000,0.9146439856155214,0.01171985303619748
agnews,BERT,BERT,dal,9,2200,0.9211697962840932,0.0031774748107126524
agnews,BERT,BERT,dal,10,2400,0.9249728502437247,0.0035977286259089893
agnews,BERT,BERT,dal,11,2600,0.9249143159769219,0.0021019873454081245
agnews,BERT,BERT,dal,12,2800,0.9262637915417731,0.0016393091197816271
agnews,BERT,BERT,dal,13,3000,0.9265858393795089,0.006142686484237097
agnews,BERT,BERT,dal,14,3200,0.9263786699888139,0.0027774558469436422
agnews,BERT,BERT,dal,15,3400,0.9275369485115342,0.002477532241265096
agnews,BERT,BERT,dal,16,3600,0.9265946765721375,0.00251401641428462
agnews,BERT,BERT,dal,17,3800,0.9312265893034674,0.0030726964225491838
agnews,BERT,BERT,dal,18,4000,0.931285889529868,0.006353783218038642
agnews,BERT,BERT,dal,19,4200,0.9276145793780461,0.003207893672869764
agnews,BERT,BERT,dal,20,4400,0.9299480807526606,0.0013635633855389603
agnews,BERT,BERT,dal,21,4600,0.9303464458835596,0.00318024100943603
agnews,BERT,BERT,dal,22,4800,0.9278015793297357,0.0018658777170595172
agnews,BERT,BERT,dal,23,5000,0.930405847835268,0.0019356453628334763
agnews,BERT,BERT,margin,-1,200,0.8684828375175289,0.01247160826186437
agnews,BERT,BERT,margin,0,400,0.8937176517821168,0.007433943564214804
agnews,BERT,BERT,margin,1,600,0.9014807439480075,0.001551029735618165
agnews,BERT,BERT,margin,2,800,0.9079268714732739,0.004093302981621683
agnews,BERT,BERT,margin,3,1000,0.9114560535078313,0.003928955409381341
agnews,BERT,BERT,margin,4,1200,0.917312329494032,0.0037583784598449717
agnews,BERT,BERT,margin,5,1400,0.9228994056037015,0.00832150684684294
agnews,BERT,BERT,margin,6,1600,0.9232607299425962,0.0019665557706109167
agnews,BERT,BERT,margin,7,1800,0.9229651406341223,0.005202782957938881
agnews,BERT,BERT,margin,8,2000,0.9266159665979635,0.0015697949148186145
agnews,BERT,BERT,margin,9,2200,0.9268073943851646,0.0036505636088636968
agnews,BERT,BERT,margin,10,2400,0.9274534368836136,0.0023494732234392315
agnews,BERT,BERT,margin,11,2600,0.928096226734898,0.00242233842658972
agnews,BERT,BERT,margin,12,2800,0.9346846621435937,0.002030309077497082
agnews,BERT,BERT,margin,13,3000,0.9313025426533023,0.002858127360416349
agnews,BERT,BERT,margin,14,3200,0.9327234694012452,0.0032010075336564685
agnews,BERT,BERT,margin,15,3400,0.9289978527696897,0.004462585252844603
agnews,BERT,BERT,margin,16,3600,0.9349344260515965,0.0023425741020112567
agnews,BERT,BERT,margin,17,3800,0.9350345608589611,0.001886612532840425
agnews,BERT,BERT,margin,18,4000,0.9305815555521629,0.002349207538183398
agnews,BERT,BERT,margin,19,4200,0.9323675020027814,0.0023795049702573993
agnews,BERT,BERT,margin,20,4400,0.9339979730529459,0.0035450047128353693
agnews,BERT,BERT,margin,21,4600,0.9331562594735447,0.0021739184652316127
agnews,BERT,BERT,margin,22,4800,0.9337877190812108,0.0031490735578138308
agnews,BERT,BERT,margin,23,5000,0.935302549784533,0.00198663556640227
agnews,BERT,BERT,random,-1,200,0.8684828375175289,0.01247160826186437
agnews,BERT,BERT,random,0,400,0.8854500114390307,0.0049926994739340706
agnews,BERT,BERT,random,1,600,0.8938580754950229,0.007731892428183313
agnews,BERT,BERT,random,2,800,0.8966275447231141,0.004343511211020238
agnews,BERT,BERT,random,3,1000,0.8953750213987938,0.006542153681932023
agnews,BERT,BERT,random,4,1200,0.8947508472413106,0.004286343343710623
agnews,BERT,BERT,random,5,1400,0.9029565462403836,0.007274981537758909
agnews,BERT,BERT,random,6,1600,0.898062877568394,0.00936741722050139
agnews,BERT,BERT,random,7,1800,0.9028993670124388,0.003977510732637198
agnews,BERT,BERT,random,8,2000,0.9041450633144095,0.009846800608243543
agnews,BERT,BERT,random,9,2200,0.904585699748298,0.008154094881407429
agnews,BERT,BERT,random,10,2400,0.9106956131327534,0.0019938091683997087
agnews,BERT,BERT,random,11,2600,0.9096571402611936,0.0031448326988963928
agnews,BERT,BERT,random,12,2800,0.9060288597329008,0.004798503780963737
agnews,BERT,BERT,random,13,3000,0.9125088005878661,0.0047346699867784284
agnews,BERT,BERT,random,14,3200,0.9138471567429112,0.002951605418005711
agnews,BERT,BERT,random,15,3400,0.913458125554308,0.003445098984300299
agnews,BERT,BERT,random,16,3600,0.9154464606216335,0.003014678586749739
agnews,BERT,BERT,random,17,3800,0.9151981366450587,0.0017129045828511008
agnews,BERT,BERT,random,18,4000,0.9162231638199118,0.0015503600855479834
agnews,BERT,BERT,random,19,4200,0.918477181716108,0.0012986766661254887
agnews,BERT,BERT,random,20,4400,0.9171809086960775,0.003971699153911843
agnews,BERT,BERT,random,21,4600,0.9152683253191669,0.0032751650957736434
agnews,BERT,BERT,random,22,4800,0.9183809324184952,0.005615626548404432
agnews,BERT,BERT,random,23,5000,0.9191465992514632,0.003696706039048241
agnews,BERT,BERT,real,-1,200,0.8684828375175289,0.01247160826186437
agnews,BERT,BERT,real,0,400,0.8966305900285318,0.008339856716723468
agnews,BERT,BERT,real,1,600,0.9025126134152996,0.0038981897693583685
agnews,BERT,BERT,real,2,800,0.9014898762055377,0.006267678155111118
agnews,BERT,BERT,real,3,1000,0.9105408510788976,0.007264016998164566
agnews,BERT,BERT,real,4,1200,0.9155552481350139,0.0008643587008473907
agnews,BERT,BERT,real,5,1400,0.9163749893796661,0.0018030982991539368
agnews,BERT,BERT,real,6,1600,0.9161053045027278,0.009521600975448139
agnews,BERT,BERT,real,7,1800,0.9221258309027442,0.002997572113385965
agnews,BERT,BERT,real,8,2000,0.920610007298365,0.003043323723627222
agnews,BERT,BERT,real,9,2200,0.9279158324655107,0.0022376528558925904
agnews,BERT,BERT,real,10,2400,0.926493478244455,0.0040263296990356405
agnews,BERT,BERT,real,11,2600,0.9313532173214827,0.002281766291103283
agnews,BERT,BERT,real,12,2800,0.930454562975422,0.0010339463839039158
agnews,BERT,BERT,real,13,3000,0.9301158592555879,0.00534262205700876
agnews,BERT,BERT,real,14,3200,0.9294222670209681,0.0004616683823638777
agnews,BERT,BERT,real,15,3400,0.9318172402217746,0.002584560669651756
agnews,BERT,BERT,real,16,3600,0.9329406156718879,0.0029684680657030196
agnews,BERT,BERT,real,17,3800,0.9304424519182287,0.0052533414586945605
agnews,BERT,BERT,real,18,4000,0.9347734691694135,0.0002583077497856041
agnews,BERT,BERT,real,19,4200,0.9339317671030175,0.0009486411597918792
agnews,BERT,BERT,real,20,4400,0.9332981436648504,0.0015186930042765453
agnews,BERT,BERT,real,21,4600,0.9340931260745903,0.0002747946153499194
agnews,BERT,BERT,real,22,4800,0.9336200745068196,0.0017707842541415863
agnews,BERT,BERT,real,23,5000,0.9321186844127678,0.0045511297024699955
agnews,LinearSVC,MPNet,cal,-1,200,0.8314342870936128,0.0027031461251525476
agnews,LinearSVC,MPNet,cal,0,400,0.8543558676449555,0.0051518756360257375
