dataset,batch_size,seed_size,acq_name,clf,rep,trial_idx,iter_idx,train_size,score,init,ts
agnews,500,500,cal,BERT,BERT,0,-1,500,0.8860149142328639,init_random,2024-03-09 09:54:03.153764
agnews,500,500,cal,BERT,BERT,0,0,1000,0.9105599480608382,init_random,2024-03-09 10:14:46.931021
agnews,500,500,cal,BERT,BERT,0,1,1500,0.919024824386966,init_random,2024-03-09 10:37:46.087751
agnews,500,500,cal,BERT,BERT,0,2,2000,0.9183474824895776,init_random,2024-03-09 11:04:27.923897
agnews,500,500,cal,BERT,BERT,0,3,2500,0.927904003860738,init_random,2024-03-09 11:35:49.909588
agnews,500,500,cal,BERT,BERT,0,4,3000,0.9293263246401656,init_random,2024-03-09 12:10:33.258438
agnews,500,500,cal,BERT,BERT,0,5,3500,0.9255629285592244,init_random,2024-03-09 12:48:31.829777
agnews,500,500,cal,BERT,BERT,0,6,4000,0.9290010345168892,init_random,2024-03-09 13:30:37.266379
agnews,500,500,cal,BERT,BERT,0,7,4500,0.937753119647234,init_random,2024-03-09 14:16:20.058971
agnews,500,500,cal,BERT,BERT,0,8,5000,0.9361901156425932,init_random,2024-03-09 15:06:23.845349
agnews,500,500,cal,BERT,BERT,1,-1,500,0.8812239355563746,init_random,2024-03-11 22:30:44.041857
agnews,500,500,cal,BERT,BERT,1,0,1000,0.903657664111586,init_random,2024-03-11 22:49:00.733514
agnews,500,500,cal,BERT,BERT,1,1,1500,0.9139497543824802,init_random,2024-03-11 23:12:22.872746
agnews,500,500,cal,BERT,BERT,1,2,2000,0.9141659410311668,init_random,2024-03-11 23:39:58.807159
agnews,500,500,cal,BERT,BERT,1,3,2500,0.9224640396574196,init_random,2024-03-12 00:11:17.903646
agnews,500,500,cal,BERT,BERT,1,4,3000,0.9329782032813226,init_random,2024-03-12 01:01:10.626301
agnews,500,500,cal,BERT,BERT,1,5,3500,0.931163660684852,init_random,2024-03-12 01:52:53.067346
agnews,500,500,cal,BERT,BERT,1,6,4000,0.932379021399806,init_random,2024-03-12 02:42:17.872245
agnews,500,500,cal,BERT,BERT,1,7,4500,0.9331677135564336,init_random,2024-03-12 03:34:36.318263
agnews,500,500,cal,BERT,BERT,1,8,5000,0.9357273485321552,init_random,2024-03-12 04:34:47.735275
agnews,500,500,cal,BERT,BERT,2,-1,500,0.900478539161246,init_random,2024-03-13 19:40:33.712107
agnews,500,500,cal,BERT,BERT,2,0,1000,0.909372419066478,init_random,2024-03-13 19:59:23.468701
agnews,500,500,cal,BERT,BERT,2,1,1500,0.9168398309294232,init_random,2024-03-13 20:22:45.828090
agnews,500,500,cal,BERT,BERT,2,2,2000,0.9222419571372356,init_random,2024-03-13 20:49:44.061590
