test_name,test_type,alternative,wcx_stat,pval
LinSVC-MP,batch_seed_size,two-sided,9625.0,0.6040590104015233
LinSVC-USE,batch_seed_size,two-sided,9373.0,0.4087727716713191
LinSVC-WV,batch_seed_size,two-sided,8945.0,0.17756575345574388
RF-MP,batch_seed_size,two-sided,8224.0,0.025878464259109026
RF-USE,batch_seed_size,two-sided,8246.0,0.027722787524829734
RF-WV,batch_seed_size,two-sided,8807.0,0.12934963389933726
RoBERTa,batch_seed_size,two-sided,4784.0,1.3150921229205e-10
cal,batch_seed_size,two-sided,30164.0,0.7721543536228862
dal,batch_seed_size,two-sided,26361.0,0.021607600891110735
margin,batch_seed_size,two-sided,28829.0,0.32006879440644254
real,batch_seed_size,two-sided,27251.0,0.06764613151166064
all,batch_seed_size,two-sided,488464.0,0.9007971463678885
LinSVC-MP,batch_seed_size,less,9625.0,0.30202950520076166
LinSVC-USE,batch_seed_size,less,9373.0,0.20438638583565955
LinSVC-WV,batch_seed_size,less,11155.0,0.911217123272128
RF-MP,batch_seed_size,less,8224.0,0.012939232129554513
RF-USE,batch_seed_size,less,8246.0,0.013861393762414867
RF-WV,batch_seed_size,less,8807.0,0.06467481694966863
RoBERTa,batch_seed_size,less,15316.0,0.9999999999342454
cal,batch_seed_size,less,30164.0,0.3860771768114431
dal,batch_seed_size,less,26361.0,0.010803800445555367
margin,batch_seed_size,less,32596.0,0.8399656027967788
real,batch_seed_size,less,34174.0,0.9661769342441697
all,batch_seed_size,less,492236.0,0.5496014268160557
LinSVC-MP,batch_seed_size,greater,9625.0,0.6979704947992383
LinSVC-USE,batch_seed_size,greater,9373.0,0.7956136141643404
LinSVC-WV,batch_seed_size,greater,11155.0,0.08878287672787194
RF-MP,batch_seed_size,greater,8224.0,0.9870607678704455
RF-USE,batch_seed_size,greater,8246.0,0.9861386062375851
RF-WV,batch_seed_size,greater,8807.0,0.9353251830503314
RoBERTa,batch_seed_size,greater,15316.0,6.5754606146025e-11
cal,batch_seed_size,greater,30164.0,0.613922823188557
dal,batch_seed_size,greater,26361.0,0.9891961995544446
margin,batch_seed_size,greater,32596.0,0.16003439720322127
real,batch_seed_size,greater,34174.0,0.03382306575583032
all,batch_seed_size,greater,492236.0,0.4503985731839443
